Disease_x,Specialist,Name
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Vahid Rahimian, DO"
Drug Reaction,Allergist,"Dr. Ira Finegold, MD, MS"
Drug Reaction,Allergist,"Dr. Neha Sirohi, MD"
Drug Reaction,Allergist,"Dr. Tim Mainardi, MD"
Drug Reaction,Allergist,"Dr. Mariana Marcu, MD"
Drug Reaction,Allergist,"Dr. Lisa Ellman-Grunther, MD"
Drug Reaction,Allergist,"Dr. Julie Kuriakose, MD"
Drug Reaction,Allergist,"Dr. Rushita Mehta, MD"
Drug Reaction,Allergist,"Dr. Julie Kuriakose, MD"
Drug Reaction,Allergist,"Dr. Steven Schnipper, MD"
Drug Reaction,Allergist,"Dr. Michael Chandler, MD"
Drug Reaction,Allergist,"Dr. Jonathan Field, MD"
Drug Reaction,Allergist,"Dr. Rose Karanicolas, MD"
Drug Reaction,Allergist,"Dr. Sharon Yost, MD"
Drug Reaction,Allergist,"Dr. Mariana Marcu, MD"
Drug Reaction,Allergist,"Dr. Sarah Silverman, MD"
Drug Reaction,Allergist,"Dr. Tim Mainardi, MD"
Drug Reaction,Allergist,"Dr. Sharon Yost, MD"
Drug Reaction,Allergist,"Dr. Mariana Marcu, MD"
Drug Reaction,Allergist,"Dr. Sarah Silverman, MD"
Drug Reaction,Allergist,"Dr. Tim Mainardi, MD"
Drug Reaction,Allergist,"Dr. Jennifer Toh, MD"
Drug Reaction,Allergist,"Dr. Arthur Lubitz, MD"
Drug Reaction,Allergist,"Dr. Rushita Mehta, MD"
Drug Reaction,Allergist,"Dr. Robert Lin, MD"
Drug Reaction,Allergist,"Dr. Mauli Desai, MD"
Drug Reaction,Allergist,"Dr. Vathani Packianathan, MD"
Drug Reaction,Allergist,"Dr. Vathani Packianathan, MD"
Drug Reaction,Allergist,"Dr. Jennifer Collins, MD"
Drug Reaction,Allergist,"Dr. Jennifer Collins, MD"
Drug Reaction,Allergist,"Dr. Arthur Lubitz, MD"
Drug Reaction,Allergist,"Dr. Norman Greeley, MD"
Drug Reaction,Allergist,"Dr. Shradha Agarwal, MD"
Drug Reaction,Allergist,"Dr. Norman Greeley, MD"
Drug Reaction,Allergist,"Dr. Sebastian Lighvani, MD"
Drug Reaction,Allergist,"Dr. Ama Alexis, MD, FAAAAI"
Drug Reaction,Allergist,"Dr. Mauli Desai, MD"
Drug Reaction,Allergist,"Dr. Ama Alexis, MD, FAAAAI"
Drug Reaction,Allergist,"Dr. Gary Stadtmauer, MD"
Drug Reaction,Allergist,"Dr. Ira Finegold, MD, MS"
Drug Reaction,Allergist,"Dr. Paula Busse, MD"
Drug Reaction,Allergist,"Dr. Paula Busse, MD"
Drug Reaction,Allergist,"Dr. Sharon Yost, MD"
Drug Reaction,Allergist,"Dr. Jennifer Toh, MD"
Drug Reaction,Allergist,"Dr. Nathan Saint Amand, MD"
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Robert Tamayev, MD, PhD"
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Tim Mainardi, MD"
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Roshni R. Naik, MD"
Drug Reaction,Allergist,"Dr. Julie Kuriakose, MD"
